Category,Brand,Product
Restaurants,McDonald’s,
Restaurants,Subway,
Restaurants,Starbucks,
Restaurants,Wendy’s,
Restaurants,Burger King,
Restaurants,Taco Bell,
Restaurants,Dunkin’ Donuts  ,
Restaurants,Pizza Hut,
Restaurants,Chick-fil-A,
Restaurants,KFC,
Restaurants,Panera Bread,
Restaurants,Sonic,
Restaurants,Domino’s,
Restaurants,Jack in the Box,
Restaurants,Arby’s,
Restaurants,Chipotle,
Restaurants,Papa John’s,
Restaurants,Dairy Queen,
Restaurants,Popeyes,
Restaurants,Hardee’s,
Restaurants,Little Caesars,
Restaurants,Carl’s Jr.,
Restaurants,Quiznos,
Restaurants,Long John Silver’s,
Restaurants,Boston Market,
Restaurants,CiCi’s Pizza,
Media,YouTube,
Media,Twitter,
Media,Discord,
Media,Facebook,
Media,VK,
Media,Instagram,
Hardware,Intel,
Hardware,Logitech,
Hardware,Asus,
Hardware,Corsair,
Hardware,Nvidia,
Hardware,Samsung,
Hardware,Razer,
Hardware,ElGato,
Hardware,Gigabyte,
Hardware,Nzxt,
Hardware,Sennheiser,
Hardware,Amd,
Major Twitch Sponsors,Gfuel,
Major Twitch Sponsors,Monster,
Major Twitch Sponsors,Dr Pepper,
Major Twitch Sponsors,RedBull,
Major Twitch Sponsors,GrubHub,
Major Twitch Sponsors,Chipotle,
Major Twitch Sponsors,Mastercard,
Major Twitch Sponsors,Ubereats,
Major OWL Sponsors 2019,Coca-Cola,
Major OWL Sponsors 2019,Toyota,
Major OWL Sponsors 2019,T-Mobile,
Major OWL Sponsors 2019,HP,
Major OWL Sponsors 2019,Intel,
Major Esports Sponsors 2019,Audi,
Major Esports Sponsors 2019,Honda,
Major Esports Sponsors 2019,BMW,
Major Esports Sponsors 2019,Nissan,
Major Esports Sponsors 2019,Kia,
Major Esports Sponsors 2019,RedBull,
Major Esports Sponsors 2019,Madrinas Coffee,
Major Esports Sponsors 2019,Tornado Energy,
Major Esports Sponsors 2019,Warsteiner,
Major Esports Sponsors 2019,Snickers,
Major Esports Sponsors 2019,Totino's,
Major Esports Sponsors 2019,Kellogg's,
Major Esports Sponsors 2019,Jersey Mike's,
Major Esports Sponsors 2019,Dominos,
Major Esports Sponsors 2019,KFC,
Major Esports Sponsors 2019,Champion,
Major Esports Sponsors 2019,Puma,
Major Esports Sponsors 2019,New Era,
Major Esports Sponsors 2019,Adidas,
Major Esports Sponsors 2019,Nike,
Major Esports Sponsors 2019,Foot Locker,
Major Esports Sponsors 2019,State Farm,
Major Esports Sponsors 2019,At&T,
Major Esports Sponsors 2019,T-Mobile,
Major Esports Sponsors 2019,AXE Body Spray,
Major Esports Sponsors 2019,Betway,
Major Esports Sponsors 2019,Progressive Insurance,
Major Esports Sponsors 2019,Newegg,
Major Esports Sponsors 2019,Hyperice,
Top Candy 2018,Snickers,
Top Candy 2018,Reese's,
Top Candy 2018,Kit Kat,
Top Candy 2018,M&M's,
Top Candy 2018,Hershey's,
Top Candy 2018,Almond Joy,
Top Candy 2018,Butterfinger,
Top Candy 2018,Twix,
Top Candy 2018,3 Musketeers,
Top Candy 2018,Dove Chocolate,
Top Candy 2018,Milky Way,
Top Candy 2018,Twizzlers,
Top Candy 2018,Ferrero Rocher,
Top Candy 2018,Baby Ruth,
Top Candy 2018,Starburst,
Top Candy 2018,Ghiradelli,
Top Candy 2018,Skittles,
Top Candy 2018,York Peppermint Patties,
Top Candy 2018,Tootsie Rolls,
Top Candy 2018,Swedish Fish,
