query,month,unique_channels,new_views,hours_watched
General Mills,19-May,2,521,138
General Mills,19-Apr,2,5,8
General Mills,19-Mar,1,100,97
General Mills,19-Feb,1,"1,109",544
General Mills,19-Jan,0,0,0
General Mills,18-Dec,0,0,0
General Mills,18-Nov,0,0,0
General Mills,18-Oct,0,0,0
General Mills,18-Sep,0,0,0
General Mills,18-Aug,0,0,0
General Mills,18-Jul,0,0,0
General Mills,18-Jun,1,18,14
General Mills,18-May,0,0,0
General Mills,18-Apr,0,0,0
General Mills,18-Mar,0,0,0
General Mills,18-Feb,0,0,0
General Mills,18-Jan,0,0,0
General Mills,17-Dec,0,0,0
General Mills,17-Nov,0,0,0
General Mills,17-Oct,0,0,0
Yoplait,19-May,0,0,0
Yoplait,19-Apr,0,0,0
Yoplait,19-Mar,0,0,0
Yoplait,19-Feb,1,63,59
Yoplait,19-Jan,1,3,0
Yoplait,18-Dec,0,0,0
Yoplait,18-Nov,0,0,0
Yoplait,18-Oct,0,0,0
Yoplait,18-Sep,0,0,0
Yoplait,18-Aug,1,142,32
Yoplait,18-Jul,1,6,12
Yoplait,18-Jun,1,10,4
Yoplait,18-May,1,61,39
Yoplait,18-Apr,1,24,8
Yoplait,18-Mar,1,90,15
Yoplait,18-Feb,0,0,0
Yoplait,18-Jan,0,0,0
Yoplait,17-Dec,0,0,0
Yoplait,17-Nov,0,0,0
Yoplait,17-Oct,0,0,0
GoGurt,19-May,0,0,0
GoGurt,19-Apr,2,61,6
GoGurt,19-Mar,1,26,13
GoGurt,19-Feb,1,34,19
GoGurt,19-Jan,3,100,50
GoGurt,18-Dec,2,72,38
GoGurt,18-Nov,2,116,39
GoGurt,18-Oct,3,38,8
GoGurt,18-Sep,1,39,12
GoGurt,18-Aug,3,46,18
GoGurt,18-Jul,2,141,28
GoGurt,18-Jun,1,49,11
GoGurt,18-May,1,13,25
GoGurt,18-Apr,2,352,167
GoGurt,18-Mar,0,0,0
GoGurt,18-Feb,0,0,0
GoGurt,18-Jan,1,288,31
GoGurt,17-Dec,2,339,138
GoGurt,17-Nov,2,342,192
GoGurt,17-Oct,0,0,0
Trix,19-May,555,"1,079,964","494,562"
Trix,19-Apr,564,"746,245","312,487"
Trix,19-Mar,436,"387,526","138,738"
Trix,19-Feb,417,"551,795","206,296"
Trix,19-Jan,506,"938,043","433,947"
Trix,18-Dec,503,"658,350","302,226"
Trix,18-Nov,439,"1,410,477","530,449"
Trix,18-Oct,462,"879,641","424,129"
Trix,18-Sep,478,"860,017","311,081"
Trix,18-Aug,481,"1,509,732","451,412"
Trix,18-Jul,460,"879,209","267,392"
Trix,18-Jun,515,"917,914","293,346"
Trix,18-May,517,"1,231,505","383,167"
Trix,18-Apr,536,"1,914,190","418,301"
Trix,18-Mar,524,"713,626","239,183"
Trix,18-Feb,496,"628,312","223,043"
Trix,18-Jan,459,"651,335","281,446"
Trix,17-Dec,507,"932,245","340,629"
Trix,17-Nov,512,"1,023,644","373,563"
Trix,17-Oct,514,"728,162","195,325"
Betty Crocker,19-May,1,501,236
Betty Crocker,19-Apr,2,551,216
Betty Crocker,19-Mar,2,735,301
Betty Crocker,19-Feb,0,0,0
Betty Crocker,19-Jan,1,0,0
