,query,month,unique_channels,new_views,hours_watched
0,General Mills,May 2019,2,521,138
1,General Mills,April 2019,2,5,8
2,General Mills,March 2019,1,100,97
3,General Mills,February 2019,1,"1,109",544
4,General Mills,January 2019,0,0,0
5,General Mills,December 2018,0,0,0
6,General Mills,November 2018,0,0,0
7,General Mills,October 2018,0,0,0
8,General Mills,September 2018,0,0,0
9,General Mills,August 2018,0,0,0
10,General Mills,July 2018,0,0,0
11,General Mills,June 2018,1,18,14
12,General Mills,May 2018,0,0,0
13,General Mills,April 2018,0,0,0
14,General Mills,March 2018,0,0,0
15,General Mills,February 2018,0,0,0
16,General Mills,January 2018,0,0,0
17,General Mills,December 2017,0,0,0
18,General Mills,November 2017,0,0,0
19,General Mills,October 2017,0,0,0
20,Yoplait,May 2019,0,0,0
21,Yoplait,April 2019,0,0,0
22,Yoplait,March 2019,0,0,0
23,Yoplait,February 2019,1,63,59
24,Yoplait,January 2019,1,3,0
25,Yoplait,December 2018,0,0,0
26,Yoplait,November 2018,0,0,0
27,Yoplait,October 2018,0,0,0
28,Yoplait,September 2018,0,0,0
29,Yoplait,August 2018,1,142,32
30,Yoplait,July 2018,1,6,12
31,Yoplait,June 2018,1,10,4
32,Yoplait,May 2018,1,61,39
33,Yoplait,April 2018,1,24,8
34,Yoplait,March 2018,1,90,15
35,Yoplait,February 2018,0,0,0
36,Yoplait,January 2018,0,0,0
37,Yoplait,December 2017,0,0,0
38,Yoplait,November 2017,0,0,0
39,Yoplait,October 2017,0,0,0
40,GoGurt,May 2019,0,0,0
41,GoGurt,April 2019,2,61,6
42,GoGurt,March 2019,1,26,13
43,GoGurt,February 2019,1,34,19
44,GoGurt,January 2019,3,100,50
45,GoGurt,December 2018,2,72,38
46,GoGurt,November 2018,2,116,39
47,GoGurt,October 2018,3,38,8
48,GoGurt,September 2018,1,39,12
49,GoGurt,August 2018,3,46,18
50,GoGurt,July 2018,2,141,28
51,GoGurt,June 2018,1,49,11
52,GoGurt,May 2018,1,13,25
53,GoGurt,April 2018,2,352,167
54,GoGurt,March 2018,0,0,0
55,GoGurt,February 2018,0,0,0
56,GoGurt,January 2018,1,288,31
57,GoGurt,December 2017,2,339,138
58,GoGurt,November 2017,2,342,192
59,GoGurt,October 2017,0,0,0
60,Trix,May 2019,555,"1,079,964","494,562"
61,Trix,April 2019,564,"746,245","312,487"
62,Trix,March 2019,436,"387,526","138,738"
63,Trix,February 2019,417,"551,795","206,296"
64,Trix,January 2019,506,"938,043","433,947"
65,Trix,December 2018,503,"658,350","302,226"
66,Trix,November 2018,439,"1,410,477","530,449"
67,Trix,October 2018,462,"879,641","424,129"
68,Trix,September 2018,478,"860,017","311,081"
69,Trix,August 2018,481,"1,509,732","451,412"
70,Trix,July 2018,460,"879,209","267,392"
71,Trix,June 2018,515,"917,914","293,346"
72,Trix,May 2018,517,"1,231,505","383,167"
73,Trix,April 2018,536,"1,914,190","418,301"
74,Trix,March 2018,524,"713,626","239,183"
75,Trix,February 2018,496,"628,312","223,043"
76,Trix,January 2018,459,"651,335","281,446"
77,Trix,December 2017,507,"932,245","340,629"
78,Trix,November 2017,512,"1,023,644","373,563"
79,Trix,October 2017,514,"728,162","195,325"
80,Betty Crocker,May 2019,1,501,236
81,Betty Crocker,April 2019,2,551,216
82,Betty Crocker,March 2019,2,735,301
83,Betty Crocker,February 2019,0,0,0
84,Betty Crocker,January 2019,1,0,0
85,Betty Crocker,December 2018,1,1,3
86,Betty Crocker,November 2018,0,0,0
87,Betty Crocker,October 2018,2,34,5
88,Betty Crocker,September 2018,1,2,0
89,Betty Crocker,August 2018,0,0,0
90,Betty Crocker,July 2018,0,0,0
91,Betty Crocker,June 2018,2,4,0
92,Betty Crocker,May 2018,0,0,0
