,query,month,unique_channels,new_views,hours_watched
0,Kashi,May 2019,41,"60,622","30,299"
1,Kashi,April 2019,43,"63,061","33,578"
2,Kashi,March 2019,35,"54,944","32,225"
3,Kashi,February 2019,29,"19,926","16,096"
4,Kashi,January 2019,39,"15,470","10,807"
5,Kashi,December 2018,41,"19,764","10,843"
6,Kashi,November 2018,44,"492,597","122,217"
7,Kashi,October 2018,27,"70,403","27,982"
8,Kashi,September 2018,32,"42,967","20,856"
9,Kashi,August 2018,34,"67,011","26,530"
10,Kashi,July 2018,32,"62,981","26,957"
11,Kashi,June 2018,36,"63,593","27,175"
12,Kashi,May 2018,34,"13,748","5,315"
13,Kashi,April 2018,29,"18,785","5,750"
14,Kashi,March 2018,32,"60,724","27,558"
15,Kashi,February 2018,36,"54,124","21,259"
16,Kashi,January 2018,26,"26,695","8,801"
17,Kashi,December 2017,20,"52,742","20,677"
18,Kashi,November 2017,26,"52,252","21,288"
19,Kashi,October 2017,22,"53,115","25,769"
20,Chips Ahoy,May 2019,1,5,2
21,Chips Ahoy,April 2019,1,0,0
22,Chips Ahoy,March 2019,0,0,0
23,Chips Ahoy,February 2019,1,5,5
24,Chips Ahoy,January 2019,2,10,10
25,Chips Ahoy,December 2018,0,0,0
26,Chips Ahoy,November 2018,1,1,0
27,Chips Ahoy,October 2018,2,3,0
28,Chips Ahoy,September 2018,0,0,0
29,Chips Ahoy,August 2018,1,17,34
30,Chips Ahoy,July 2018,1,6,0
31,Chips Ahoy,June 2018,0,0,0
32,Chips Ahoy,May 2018,0,0,0
33,Chips Ahoy,April 2018,0,0,0
34,Chips Ahoy,March 2018,0,0,0
35,Chips Ahoy,February 2018,0,0,0
36,Chips Ahoy,January 2018,1,0,0
37,Chips Ahoy,December 2017,0,0,0
38,Chips Ahoy,November 2017,0,0,0
39,Chips Ahoy,October 2017,0,0,0
40,The Wonderful Company,May 2019,0,0,0
41,The Wonderful Company,April 2019,0,0,0
42,The Wonderful Company,March 2019,0,0,0
43,The Wonderful Company,February 2019,0,0,0
44,The Wonderful Company,January 2019,0,0,0
45,The Wonderful Company,December 2018,0,0,0
46,The Wonderful Company,November 2018,0,0,0
47,The Wonderful Company,October 2018,0,0,0
48,The Wonderful Company,September 2018,0,0,0
49,The Wonderful Company,August 2018,0,0,0
50,The Wonderful Company,July 2018,0,0,0
51,The Wonderful Company,June 2018,0,0,0
52,The Wonderful Company,May 2018,0,0,0
53,The Wonderful Company,April 2018,0,0,0
